q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,8,20260926-0-0-0-8,40,pdf,1.53883342221191,1.8078801723986844,True,False,40,7.311236767381027,0.045686427999953594,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,40,qlog,1.56,1.6283319246722618,True,False,40,7.311236767381027,0.029562323000163815,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,50,pdf,1.5333767790191175,1.7794541728094895,True,False,50,7.311236767381027,0.04732379300003231,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,50,qlog,1.54,1.6340431282170422,True,False,50,7.311236767381027,0.03006426100000681,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,70,pdf,1.5392431818445644,1.7987989545523357,True,False,70,7.311236767381027,0.050692365000031714,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,70,qlog,1.54,1.473961583412203,True,False,70,7.311236767381027,0.030185034000169253,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,100,pdf,1.5365600329687463,1.79242529503841,True,False,97,7.311236767381027,0.09271204799983934,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,100,qlog,1.54,1.3602928891737638,True,False,97,7.311236767381027,0.03430683300007331,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,150,pdf,1.538260372953237,1.8051992579218994,True,False,139,7.311236767381027,0.054765861999840126,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,150,qlog,1.54,1.227144836861743,True,False,139,7.311236767381027,0.031942741999955615,barrido q-log; q por deviance de bins
